elapsedTime,averageHeartrate,distance,averageSpeed,maxSpeed,movingTime,activityId,gearId,name,maxHeartrate,deviceName,calories,userId,averageCadence,updatedAt,totalElevationGain,startDate,sufferScore,description,type
6443,0,5294.9,1.318,5.924,4017,10003455924,,Afternoon Walk,0,,0,test-user-123,0,2025-05-01T20:00:03.562897,95.7,2023-10-08T21:06:04Z,0,,Walk
686767,0,14132.9,0.174,5.718,81117,11965268433,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.522855,42,2024-07-16T02:15:12Z,0,,Run
425767,0,41523.9,4.095,28.318,10139,12073555704,,Night Run,0,,0,test-user-123,0,2025-05-01T20:00:03.482876,343.5,2024-08-01T04:49:26Z,0,,Run
5873,0,14952.6,4.198,20.556,3562,12073813181,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.442877,115.5,2024-08-06T03:05:56Z,0,,Run
5499,0,6651.5,1.821,7.396,3653,12091781813,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.402883,37.5,2024-08-08T02:41:58Z,0,,Run
4856,0,5001,2.097,12.06,2385,14199959916,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.362868,37.8,2025-04-17T02:36:03Z,0,,Run
3215,0,4657.4,2.136,16.52,2180,14209365302,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.322894,37.5,2025-04-18T03:24:09Z,0,,Run
4066,0,6163.7,2.476,6.34,2489,14218606007,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.282848,36.1,2025-04-19T01:54:02Z,0,,Run
4404,0,5689.1,2.131,7.725,2670,14228586025,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.242891,35.7,2025-04-20T02:09:42Z,0,,Run
2062,0,3199.6,1.725,3.94,1855,14237436060,,Afternoon Run,0,,0,test-user-123,0,2025-05-01T20:00:03.202867,9.8,2025-04-20T23:08:44Z,0,,Run
3227,0,6567.7,2.514,7.933,2612,14258744497,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.162853,31.4,2025-04-23T02:34:02Z,0,,Run
2231,0,6464.2,3.008,6.76,2149,14268347825,,Afternoon Run,0,,0,test-user-123,0,2025-05-01T20:03:43.873525,6.2,2025-04-24T00:28:43Z,0,,Run
85653,0,31184.6,1.517,10.811,20553,14277836197,,Evening Walk,0,,0,test-user-123,54.7,2025-05-01T20:03:43.833544,37,2025-04-24T01:22:35Z,0,,Walk
2266,0,6596.6,2.928,4.44,2253,14278029605,,Evening Run,0,,0,test-user-123,79.3,2025-05-01T20:03:43.793491,6.2,2025-04-25T01:13:28Z,0,,Run
2142,0,6509.8,3.039,4.62,2142,14286875934,,Evening Run,0,,0,test-user-123,80.9,2025-05-01T20:03:43.735321,6.3,2025-04-26T01:18:04Z,0,,Run
2712,0,4434.8,1.781,3.83,2490,14328870489,,Evening Run,0,,0,test-user-123,64.9,2025-05-01T20:03:43.554902,35.3,2025-04-30T02:22:55Z,0,,Run
4361,0,8332.6,2.422,5.34,3441,14390812696,,Evening Run,0,,0,test-user-123,75.8,2025-05-13T05:14:50.350742,42.6,2025-05-06T02:22:37Z,0,,Run
6196,0,10480.5,2.53,9.68,4143,14401343807,,Evening Run,0,,0,test-user-123,76,2025-05-13T05:14:50.290739,45.3,2025-05-07T01:44:49Z,0,,Run
9197,0,11849,2.508,9.98,4724,14412142392,,Evening Run,0,,0,test-user-123,73.4,2025-05-13T05:14:50.250810,48.6,2025-05-08T03:10:47Z,0,,Run
2775,0,7915.7,2.869,5.6,2759,14421973938,,Evening Run,0,,0,test-user-123,81.2,2025-05-13T05:14:50.210736,39.6,2025-05-09T03:00:30Z,0,,Run
9223,0,12242,2.279,8.29,5372,14442095493,,Evening Run,0,,0,test-user-123,70.4,2025-05-13T05:14:50.171109,43,2025-05-11T03:30:07Z,0,,Run
3819,0,5985,1.727,7.18,3466,14462586431,,Evening Run,0,,0,test-user-123,62.2,2025-05-13T05:14:49.990671,41,2025-05-13T02:16:13Z,0,,Run
4943,0,9289.4,2.383,7.545,3898,14473633953,,Evening Run,0,,0,test-user-123,72.2,2025-05-14T04:54:36.858657,42.6,2025-05-14T01:12:27Z,0,,Run
2522,0,7877.3,3.498,6.534,2252,6152459315,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:04.142881,37.5,2021-10-23T02:57:58Z,0,,Run
2162,0,7430.9,3.522,7.786,2110,6202880862,,Lunch Run,0,,0,test-user-123,0,2025-05-01T20:00:04.102939,36.2,2021-11-02T18:38:20Z,0,,Run
2139,0,7407.8,3.605,8.302,2055,6216148670,,Lunch Run,0,,0,test-user-123,0,2025-05-01T20:00:04.062900,36.5,2021-11-05T18:29:40Z,0,,Run
12887,0,13615.4,1.25,5.085,10890,6221727409,,Lunch Hike,0,,0,test-user-123,0,2025-05-01T20:00:04.002918,966.5,2021-11-06T18:09:12Z,0,,Hike
2335,0,7794.5,3.497,6.318,2229,6234603969,,Morning Run,0,,0,test-user-123,0,2025-05-01T20:00:03.962857,36.4,2021-11-09T16:41:56Z,0,,Run
2423,0,7827.3,3.429,6.908,2283,6238851896,,Morning Run,0,,0,test-user-123,0,2025-05-01T20:00:03.922882,37,2021-11-10T14:55:13Z,0,,Run
2434,0,7759.7,3.258,6.376,2382,6275156965,,Morning Run,0,,0,test-user-123,0,2025-05-01T20:00:03.882875,36.5,2021-11-18T15:17:49Z,0,,Run
2253,0,7740.3,3.681,11.604,2103,6326275659,,Morning Run,0,,0,test-user-123,0,2025-05-01T20:00:03.842867,36.7,2021-11-30T16:19:24Z,0,,Run
3734,0,7284.9,2.095,6.212,3477,7111256737,,Afternoon Run,0,,0,test-user-123,0,2025-05-01T20:00:03.802879,37.1,2022-05-09T00:18:49Z,0,,Run
3148,0,4932.7,1.963,4.852,2513,7116376032,,Afternoon Run,0,,0,test-user-123,0,2025-05-01T20:00:03.762888,87.4,2022-05-09T23:43:20Z,0,,Run
285,0,415.6,1.479,8.691,281,7138050567,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.722882,0,2022-05-14T01:02:03Z,0,,Run
1776,0,5989.2,3.372,5.148,1776,7138122039,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.682857,8.8,2022-05-14T01:06:56Z,0,,Run
1565,0,4852.5,3.117,4.562,1557,7883202650,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.642880,4.5,2022-09-29T04:42:43Z,0,,Run
2097,0,5761.7,2.778,5.39,2074,7892434408,,Evening Run,0,,0,test-user-123,0,2025-05-01T20:00:03.602853,4.7,2022-10-01T05:00:32Z,0,,Run
